tm,open,high,low,close,rsi,supertrend,direction,ppo,ppo_signal,hist
2019-01-01 09:15,10884.1,10885.3,10813.65,10826.45,0,0,0,0,0,0
2019-01-01 10:15,10826.4,10842.35,10822.7,10839.35,0,0,0,0,0,0
2019-01-01 11:15,10839.25,10841.35,10829.25,10836.95,0,0,0,0,0,0
2019-01-01 12:15,10837.35,10838.4,10819.7,10828.5,0,0,0,0,0,0
2019-01-01 13:15,10828.4,10830.35,10807.1,10819.3,0,0,0,0,0,0
2019-01-01 14:15,10819.1,10913.85,10818.6,10903.85,0,0,0,0,0,0
2019-01-01 15:15,10903.7,10923.6,10900.9,10914.4,0,0,0,0,0,0
2019-01-02 09:15,10915.05,10916.8,10839.3,10866.6,0,0,0,0,0,0
2019-01-02 10:15,10866.2,10895.35,10865.1,10872.3,0,0,0,0,0,0
2019-01-02 11:15,10872.45,10879.8,10867.2,10872.85,0,0,0,0,0,0
2019-01-02 12:15,10873.25,10873.85,10781.25,10805.65,0,0,0,0,0,0
2019-01-02 13:15,10805.8,10809.3,10735.05,10760.85,0,0,0,0,0,0
2019-01-02 14:15,10760.65,10809.65,10750.25,10795.85,0,0,0,0,0,0
2019-01-02 15:15,10796.1,10796.15,10778.3,10782.85,0,0,0,0,0,0
2019-01-03 09:15,10783.8,10810.85,10750,10806.55,0,0,0,0,0,0
2019-01-03 10:15,10807.05,10814.05,10750.35,10752.95,0,0,0,0,0,0
2019-01-03 11:15,10752.9,10753.25,10711.35,10716.75,0,0,0,0,0,0
2019-01-03 12:15,10717,10729.1,10700.3,10720.5,0,0,0,0,0,0
2019-01-03 13:15,10720.8,10733.25,10674.15,10678.45,0,0,0,0,0,0
2019-01-03 14:15,10678.55,10690.95,10667.55,10671.85,0,0,0,0,0,0
2019-01-03 15:15,10672,10674.8,10661.25,10671.65,0,0,0,0,0,0
2019-01-04 09:15,10671.7,10729.4,10649.05,10665.35,27.90631546,10730.34895,-1,-0.582216912,-0.016410578,-0.565806334
2019-01-04 10:15,10664.9,10698.75,10628.65,10673.6,27.21774907,10730.34895,-1,-0.636453904,-0.056518056,-0.579935848
2019-01-04 11:15,10673.05,10697.45,10670.5,10690.65,29.66518732,10730.34895,-1,-0.673779808,-0.075075168,-0.59870464
2019-01-04 12:15,10690.55,10741.05,10681.25,10730.8,34.56260747,10730.34895,-1,-0.729773492,-0.104855082,-0.62491841
2019-01-04 13:15,10730.65,10737.3,10669.45,10670.45,44.38341494,10639.61267,1,-0.711834715,-0.069533044,-0.642301671
2019-01-04 14:15,10671.5,10736.45,10658.8,10728.8,35.70843569,10639.61267,1,-0.651938308,-0.00770931,-0.644228998
2019-01-04 15:15,10729.7,10732.75,10719.75,10729.75,46.58016315,10639.61267,1,-0.557568306,0.069328554,-0.62689686
2019-01-07 09:15,10729.7,10822.45,10727.15,10815.35,46.73808012,10653.34312,1,-0.441139641,0.148605775,-0.589745416
2019-01-07 10:15,10814.65,10835.95,10810.6,10816.25,58.6107555,10694.502,1,-0.266237417,0.2588064,-0.525043816
2019-01-07 11:15,10816.1,10822.2,10786,10800.35,58.71495796,10747.41325,1,-0.09026666,0.347821725,-0.438088385
